Wall time,Step,Value,relative
1712390266,4000,1.761883259,0 
1712390384,8000,0.77033335,118 
1712390507,12000,0.710167229,241 
1712390626,16000,0.726748347,361 
1712390752,20000,0.632645667,486 
1712390879,24000,0.574254394,613 
1712391007,28000,0.54818064,741 
1712391157,32000,0.509961545,892 
1712391290,36000,0.532474458,1025 
1712391428,40000,0.580183625,1162 
1712391571,44000,0.492534071,1305 
1712391712,48000,0.548966825,1446 
1712391858,52000,0.503935397,1592 
1712392021,56000,0.472376585,1755 
1712392185,60000,0.531517565,1919 
1712392345,64000,0.48781845,2079 
1712392500,68000,0.474951297,2234 
1712392643,72000,0.496484846,2377 
1712392795,76000,0.515084743,2530 
1712392956,80000,0.544909716,2690 
1712393121,84000,0.561094046,2855 
1712393289,88000,0.473861963,3023 
1712393457,92000,0.485328048,3192 
1712393618,96000,0.399732977,3353 
1712393791,100000,0.455843091,3526 
1712393953,104000,0.476810455,3688 
1712394121,108000,0.47530067,3855 
1712394292,112000,0.490912199,4026 
1712394447,116000,0.523699582,4181 
1712394614,120000,0.430727839,4349 
1712394781,124000,0.496598154,4516 
1712394951,128000,0.43441835,4686 
1712395121,132000,0.394667834,4856 
1712395293,136000,0.471626401,5028 
1712395465,140000,0.372803509,5199 
1712395633,144000,0.432175428,5367 
1712395810,148000,0.376841992,5544 
1712395978,152000,0.405059546,5712 
1712396147,156000,0.405033946,5881 
1712396313,160000,0.393075377,6047 
1712396479,164000,0.36078018,6213 
1712396640,168000,0.340322822,6374 
1712396800,172000,0.299365997,6535 
1712396965,176000,0.258465946,6700 
1712397132,180000,0.186161444,6866 
1712397286,184000,0.179740921,7020 
1712397444,188000,0.104261301,7178 
1712397599,192000,0.075169355,7334 
1712397754,196000,0.06625399,7489 
1712397903,200000,0.066269569,7637 
1712398056,204000,0.01929857,7790 
1712398211,208000,0.005632368,7946 
1712398363,212000,-0.014001898,8098 
1712398516,216000,0.016709883,8251 
1712398665,220000,0.00731207,8399 
1712398810,224000,-0.004857861,8545 
1712398960,228000,-0.012388335,8694 
1712399109,232000,-0.014629223,8844 
1712399258,236000,-0.006110419,8992 
1712399408,240000,-0.010070917,9142 
