Wall time,Step,Value,
1712373180,4000,171.6005313,
1712373358,8000,169.9165313,
1712373525,12000,165.5611563,
1712373671,16000,158.0179531,
1712373837,20000,157.3803906,
1712373991,24000,155.1886406,
1712374140,28000,152.8033438,
1712374282,32000,150.0641094,
1712374424,36000,148.0723438,
1712374561,40000,145.8441563,
1712374703,44000,141.8994063,
1712374836,48000,137.2599219,
1712374972,52000,134.0704844,
1712375100,56000,132.3065469,
1712375224,60000,128.1551875,
1712375364,64000,126.6308984,
1712375494,68000,124.7448125,
1712375610,72000,122.1433594,
1712375736,76000,120.4749609,
1712375856,80000,118.8286797,
1712375979,84000,116.8130547,
1712376090,88000,114.6553281,
1712376217,92000,113.7219375,
1712376341,96000,113.1825313,
1712376449,100000,111.5266875,
1712376556,104000,108.1486094,
1712376667,108000,106.0925547,
1712376771,112000,104.9115859,
1712376879,116000,103.0102031,
1712377002,120000,103.1002109,
1712377105,124000,101.1030313,
1712377207,128000,100.0234297,
1712377318,132000,98.3896875,
1712377422,136000,96.30194531,
1712377526,140000,95.78655469,
1712377633,144000,95.63389844,
1712377734,148000,94.56385938,
1712377836,152000,94.162625,
1712377939,156000,93.52491406,
1712378039,160000,91.16030469,
1712378144,164000,91.11357813,
1712378255,168000,91.88038281,
1712378355,172000,90.59032813,
1712378453,176000,89.90035938,
1712378558,180000,89.87445313,
1712378665,184000,89.82439063,
1712378776,188000,90.71011719,
1712378888,192000,91.59990625,
1712378997,196000,92.14923438,
1712379102,200000,92.54638281,
1712379210,204000,92.87105469,
1712379325,208000,93.23794531,
1712379432,212000,93.88235156,
1712379537,216000,94.58586719,
1712379635,220000,93.87852344,
1712379746,224000,94.2400625,
1712379850,228000,93.5208125,
1712379955,232000,92.85803906,
1712380068,236000,93.18394531,
1712380175,240000,93.44882031,
