Wall time,Step,Value
1712390266,4000,106.85 
1712390384,8000,112.50 
1712390507,12000,115.93 
1712390626,16000,116.83 
1712390752,20000,118.52 
1712390878,24000,119.92 
1712391007,28000,121.08 
1712391157,32000,124.79 
1712391290,36000,125.67 
1712391428,40000,126.86 
1712391571,44000,130.48 
1712391712,48000,132.76 
1712391858,52000,135.07 
1712392021,56000,139.41 
1712392185,60000,143.26 
1712392345,64000,146.57 
1712392500,68000,149.24 
1712392643,72000,148.44 
1712392795,76000,150.44 
1712392956,80000,152.72 
1712393121,84000,154.91 
1712393289,88000,157.60 
1712393457,92000,159.86 
1712393618,96000,159.68 
1712393791,100000,160.56 
1712393953,104000,160.74 
1712394121,108000,162.06 
1712394292,112000,164.86 
1712394447,116000,165.07 
1712394614,120000,165.78 
1712394781,124000,165.98 
1712394951,128000,166.18 
1712395121,132000,166.33 
1712395293,136000,167.39 
1712395465,140000,167.27 
1712395633,144000,167.91 
1712395810,148000,168.80 
1712395977,152000,168.48 
1712396147,156000,169.90 
1712396313,160000,169.78 
1712396479,164000,169.68 
1712396640,168000,168.80 
1712396800,172000,167.82 
1712396965,176000,167.13 
1712397132,180000,166.64 
1712397286,184000,165.20 
1712397444,188000,163.33 
1712397599,192000,162.07 
1712397754,196000,160.70 
1712397903,200000,158.93 
1712398056,204000,157.62 
1712398211,208000,157.04 
1712398363,212000,156.23 
1712398516,216000,155.02 
1712398665,220000,153.20 
1712398810,224000,152.37 
1712398960,228000,151.49 
1712399109,232000,150.93 
1712399258,236000,150.26 
1712399408,240000,150.39 
